Deep size	Num units	Learning rate	Batch size	MSE	Tiempo de ejecución
4	200	0.001	8	0.18030016124248505	16.85762333869934
2	200	0.001	8	0.1605747491121292	14.31784439086914
2	50	1e-05	8	0.1027413010597229	68.45728731155396
3	100	0.001	8	0.08668942749500275	19.127943992614746
2	100	1e-05	8	0.07922911643981934	67.32569360733032
4	100	0.001	8	0.07534048706293106	9.881539821624756
3	50	1e-05	8	0.07518956810235977	76.62954044342041
2	50	0.001	8	0.07514927536249161	21.154999017715454
2	200	1e-05	8	0.07203247398138046	58.180007219314575
2	150	1e-05	8	0.07127493619918823	61.50955939292908
3	100	1e-05	8	0.07110446691513062	61.21181845664978
2	100	0.001	8	0.06756293773651123	12.58482575416565
4	100	1e-05	8	0.061777010560035706	53.19160294532776
4	50	1e-05	8	0.060900308191776276	82.67215323448181
4	200	1e-05	8	0.05764072388410568	37.73611807823181
2	50	0.0001	8	0.056544411927461624	32.48452162742615
2	200	0.0001	8	0.05597725883126259	21.39743447303772
3	150	1e-05	8	0.055465564131736755	82.63825845718384
3	50	0.001	8	0.054460469633340836	13.525097846984863
3	200	1e-05	8	0.05199860408902168	53.64005923271179
3	150	0.001	8	0.05194811895489693	10.440757513046265
3	100	0.0001	8	0.05050022900104523	41.7280170917511
4	150	1e-05	8	0.047881677746772766	41.89942240715027
4	50	0.001	8	0.04727548733353615	10.939963102340698
4	200	0.0001	8	0.04693399369716644	19.94955086708069
2	150	0.0001	8	0.04608152061700821	19.79856276512146
3	200	0.001	8	0.04557531699538231	13.904051780700684
2	150	0.001	8	0.04543076455593109	19.045640468597412
3	50	0.0001	8	0.04498277232050896	30.976457595825195
2	100	0.0001	8	0.044799093157052994	24.814155101776123
4	150	0.001	8	0.042000122368335724	8.827588319778442
4	50	0.0001	8	0.041754771023988724	22.065885543823242
3	150	0.0001	8	0.041682519018650055	17.91736602783203
4	100	0.0001	8	0.04083806276321411	15.417564630508423
3	200	0.0001	8	0.03908377140760422	22.201454162597656
4	150	0.0001	8	0.037367381155490875	18.74725890159607
