Deep size	Num units	Learning rate	Accuracy	Tiempo de ejecución
6	8	0.01	0.9690999984741211	21.829089403152466
2	68	0.0005	0.9690999984741211	19.22434091567993
7	21	0.001	0.968999981880188	42.37671518325806
7	68	0.0001	0.968999981880188	31.158104419708252
9	68	0.005	0.968999981880188	22.626362323760986
9	42	0.001	0.9689000248908997	42.59373950958252
5	42	0.0005	0.9689000248908997	42.27542042732239
7	8	0.01	0.9689000248908997	22.68529462814331
8	16	0.005	0.9689000248908997	22.595991373062134
2	42	0.0005	0.9689000248908997	21.46753191947937
3	68	0.001	0.9689000248908997	21.282707452774048
4	21	0.0005	0.9689000248908997	18.808008432388306
7	55	0.0005	0.9688000082969666	43.028470277786255
8	55	0.001	0.9688000082969666	30.335503339767456
4	89	0.0001	0.9688000082969666	29.255509853363037
5	55	0.005	0.9688000082969666	23.65207600593567
6	21	0.01	0.9688000082969666	22.528945446014404
2	89	0.0005	0.9688000082969666	20.056029558181763
4	10	0.01	0.9688000082969666	17.689747095108032
5	21	0.01	0.9688000082969666	15.848758220672607
3	16	0.01	0.9688000082969666	15.621444702148438
3	16	0.001	0.9688000082969666	12.268786430358887
6	31	0.0005	0.9686999917030334	43.42066287994385
7	55	0.01	0.9686999917030334	42.99641704559326
6	55	0.0005	0.9686999917030334	42.99167227745056
7	42	0.005	0.9686999917030334	42.341585636138916
8	5	0.005	0.9686999917030334	22.576942920684814
8	8	0.005	0.9686999917030334	22.55098605155945
4	10	0.005	0.9686999917030334	22.183427810668945
3	10	0.005	0.9686999917030334	21.754383087158203
3	68	0.0005	0.9686999917030334	21.677233457565308
3	10	0.01	0.9686999917030334	21.67610502243042
2	42	0.005	0.9686999917030334	21.484736680984497
2	55	0.0005	0.9686999917030334	21.416592121124268
2	68	0.005	0.9686999917030334	15.813932657241821
9	68	0.001	0.9685999751091003	42.70586085319519
6	31	0.005	0.9685999751091003	42.29790925979614
5	31	0.0005	0.9685999751091003	22.343393325805664
8	6	0.005	0.9685999751091003	21.98876643180847
4	55	0.005	0.9685999751091003	21.650899171829224
2	26	0.005	0.9685999751091003	21.53632140159607
2	8	0.01	0.9685999751091003	21.452025651931763
9	8	0.01	0.9685999751091003	19.527140140533447
2	26	0.0005	0.9685999751091003	17.900140523910522
8	31	0.005	0.968500018119812	43.59795522689819
9	21	0.0005	0.968500018119812	43.346455574035645
9	10	0.005	0.968500018119812	42.633354902267456
4	68	0.005	0.968500018119812	42.2495641708374
7	68	0.005	0.968500018119812	24.578142166137695
7	21	0.005	0.968500018119812	22.962573051452637
9	26	0.005	0.968500018119812	22.595823764801025
7	16	0.0005	0.968500018119812	22.098748922348022
6	8	0.005	0.968500018119812	21.83940291404724
2	6	0.01	0.968500018119812	21.530049562454224
4	42	0.005	0.968500018119812	20.231911659240723
4	89	0.005	0.968500018119812	19.66643762588501
2	68	0.01	0.968500018119812	19.060026168823242
3	6	0.001	0.968500018119812	15.5392484664917
3	8	0.01	0.968500018119812	11.615965366363525
7	21	0.0005	0.9684000015258789	42.55671787261963
4	89	0.01	0.9684000015258789	29.066999197006226
9	10	0.01	0.9684000015258789	22.733129501342773
8	21	0.01	0.9684000015258789	22.110886573791504
6	68	0.01	0.9684000015258789	21.817047119140625
5	26	0.005	0.9684000015258789	21.719221115112305
3	16	0.0005	0.9684000015258789	15.355473041534424
9	89	0.0005	0.9682999849319458	84.14645481109619
9	21	0.001	0.9682999849319458	43.29865002632141
9	13	0.0005	0.9682999849319458	43.17257785797119
7	89	0.01	0.9682999849319458	42.99675393104553
6	26	0.0005	0.9682999849319458	42.58691453933716
