Deep layers	Num units	Learning rate	Batch size	Loss	Score	Elapsed time
3	100	0.0001	4	0.029918847605586052	0.029918847605586052	108.03514909744263
3	200	0.0001	4	0.02998509630560875	0.02998509630560875	69.54042601585388
3	200	0.0001	8	0.03030884638428688	0.03030884638428688	80.11115980148315
3	100	0.0001	4	0.030626853927969933	0.030626853927969933	106.73220348358154
3	200	0.0001	4	0.031470973044633865	0.031470973044633865	52.590017795562744
3	100	0.0001	4	0.031626299023628235	0.031626299023628235	70.55943822860718
3	100	0.0001	4	0.03178521618247032	0.03178521618247032	65.92227458953857
3	200	0.0001	4	0.0318184457719326	0.0318184457719326	82.7838077545166
3	200	0.0001	4	0.03195134550333023	0.03195134550333023	54.458657026290894
3	200	0.0001	4	0.03195720911026001	0.03195720911026001	58.7541446685791
3	100	0.0001	4	0.031980469822883606	0.031980469822883606	61.760926723480225
3	200	0.0001	4	0.03198555111885071	0.03198555111885071	44.89366436004639
3	200	0.0001	4	0.032386720180511475	0.032386720180511475	82.85780000686646
3	200	0.0001	4	0.03273005411028862	0.03273005411028862	49.55420231819153
3	200	0.0001	4	0.03327099606394768	0.03327099606394768	98.6937940120697
3	200	0.0001	4	0.033312082290649414	0.033312082290649414	48.569074630737305
3	100	0.0001	4	0.03341146931052208	0.03341146931052208	52.726359605789185
3	100	0.0001	4	0.0337129682302475	0.0337129682302475	82.87592506408691
2	200	0.0001	4	0.0339081846177578	0.0339081846177578	82.73507356643677
3	200	1e-05	4	0.033968355506658554	0.033968355506658554	184.7390651702881
3	100	0.0001	4	0.03431360796093941	0.03431360796093941	80.21429109573364
3	200	1e-05	4	0.035214606672525406	0.035214606672525406	262.97435426712036
3	200	1e-05	4	0.035405177623033524	0.035405177623033524	262.98754382133484
3	200	1e-05	4	0.03563050180673599	0.03563050180673599	200.94725894927979
3	200	1e-05	4	0.0363718643784523	0.0363718643784523	183.48753929138184
3	200	1e-05	4	0.037751853466033936	0.037751853466033936	163.03449296951294
3	100	1e-05	4	0.03960762172937393	0.03960762172937393	141.07969641685486
3	200	0.0001	8	0.0431094765663147	0.0431094765663147	53.538307905197144
3	100	1e-05	4	0.04567823186516762	0.04567823186516762	153.317284822464
3	200	0.0001	8	0.04728754609823227	0.04728754609823227	39.876155376434326
2	200	1e-05	4	0.05262349918484688	0.05262349918484688	182.3736732006073
3	100	1e-05	8	0.06780746579170227	0.06780746579170227	77.39406394958496
