Deep layers	Num units	Learning rate	Batch size	Loss	Score	Elapsed time
4	100	0.0001	4	2.5628534785937518e-05	2.5628534785937518e-05	279.34069871902466
4	50	0.0001	4	3.4915512514999136e-05	3.4915512514999136e-05	280.99575185775757
4	100	0.0001	4	3.630670107668266e-05	3.630670107668266e-05	312.67593121528625
4	100	0.0001	4	3.687713251565583e-05	3.687713251565583e-05	279.86327862739563
4	100	0.0001	4	4.106219785171561e-05	4.106219785171561e-05	278.68078804016113
4	100	0.0001	4	4.241944770910777e-05	4.241944770910777e-05	298.892014503479
4	100	0.0001	4	4.408567110658623e-05	4.408567110658623e-05	279.50514793395996
4	100	0.0001	4	5.908118691877462e-05	5.908118691877462e-05	280.69638872146606
4	100	0.0001	4	6.058669532649219e-05	6.058669532649219e-05	280.8012275695801
4	100	0.0001	4	6.24097156105563e-05	6.24097156105563e-05	307.09251832962036
4	100	0.0001	4	6.315676728263497e-05	6.315676728263497e-05	279.3630602359772
4	100	0.0001	4	6.351072079269215e-05	6.351072079269215e-05	294.764034986496
4	100	0.0001	4	6.358462269417942e-05	6.358462269417942e-05	278.5185821056366
4	100	0.0001	4	6.962297629797831e-05	6.962297629797831e-05	293.05516815185547
4	100	0.0001	4	7.144023402361199e-05	7.144023402361199e-05	278.9656412601471
4	100	0.0001	4	7.436391024384648e-05	7.436391024384648e-05	296.52057242393494
4	100	0.0001	4	7.888590334914625e-05	7.888590334914625e-05	279.2551169395447
4	100	0.0001	4	7.89485129644163e-05	7.89485129644163e-05	281.0216875076294
4	100	0.0001	4	7.978830399224535e-05	7.978830399224535e-05	279.1110908985138
4	100	0.0001	4	8.169380453182384e-05	8.169380453182384e-05	296.49146485328674
4	100	0.0001	4	8.540891576558352e-05	8.540891576558352e-05	306.56942486763
4	100	0.0001	4	8.566883479943499e-05	8.566883479943499e-05	292.40118288993835
4	100	0.0001	4	8.824658289086074e-05	8.824658289086074e-05	294.3241539001465
4	100	0.0001	4	8.827556303003803e-05	8.827556303003803e-05	294.8515167236328
4	100	0.0001	4	8.862969116307795e-05	8.862969116307795e-05	283.09273648262024
4	100	0.0001	4	9.078245057025924e-05	9.078245057025924e-05	278.88702726364136
4	100	0.0001	4	0.00010621797264320776	0.00010621797264320776	293.4365749359131
3	50	0.0001	4	0.00011058556265197694	0.00011058556265197694	283.37508821487427
4	50	0.0001	4	0.0001160801766673103	0.0001160801766673103	282.268013715744
4	50	0.0001	4	0.00012528010120149702	0.00012528010120149702	281.8970501422882
4	100	0.0001	4	0.00013414373097475618	0.0001341437455266714	280.29612827301025
4	100	0.0001	4	0.0001392803096678108	0.0001392803096678108	281.4175612926483
4	50	0.0001	4	0.00014517447561956942	0.00014517447561956942	282.6061487197876
4	50	0.0001	4	0.00017285211652051657	0.00017285211652051657	292.60687732696533
4	50	0.0001	4	0.0001733780518407002	0.0001733780518407002	291.2258245944977
4	100	0.0001	8	0.0001734653051244095	0.0001734653051244095	145.86120676994324
4	50	0.0001	4	0.00017381197540089488	0.00017381197540089488	285.0094153881073
4	50	0.0001	4	0.00017683613987173885	0.00017683613987173885	281.8949873447418
4	100	0.0001	4	0.0001851464476203546	0.0001851464476203546	282.79483008384705
4	50	0.0001	4	0.00018545093189459294	0.00018545093189459294	283.36916875839233
4	100	0.0001	8	0.00019043911015614867	0.00019043911015614867	157.0355987548828
3	50	0.0001	4	0.00019711273489519954	0.00019711273489519954	288.52770495414734
4	50	0.0001	4	0.00020809956185985357	0.00020809956185985357	281.4249064922333
4	50	0.0001	4	0.00020826379477512091	0.00020826379477512091	281.705961227417
4	50	0.0001	4	0.00020958378445357084	0.00020958378445357084	283.61608242988586
4	50	0.0001	4	0.0002145961916539818	0.0002145961916539818	281.17595982551575
4	50	0.0001	4	0.00023150602646637708	0.00023150602646637708	284.45398211479187
4	50	0.0001	4	0.00023339981271419674	0.00023339981271419674	280.7403495311737
3	100	0.0001	4	0.00023374006559606642	0.00023374006559606642	269.24487352371216
4	50	0.0001	4	0.00024205169756896794	0.00024205169756896794	284.9834430217743
3	100	0.0001	4	0.0002599812869448215	0.0002599812869448215	268.52033853530884
4	50	0.0001	4	0.00027168853557668626	0.00027168853557668626	281.1206066608429
3	50	0.0001	4	0.00031996757024899125	0.00031996757024899125	297.1409206390381
3	50	0.0001	4	0.0003250653389841318	0.0003250653389841318	297.9670977592468
3	50	0.0001	4	0.0003260234370827675	0.0003260234370827675	285.51339387893677
4	50	0.0001	4	0.0003352435305714607	0.0003352435305714607	281.3792667388916
4	50	0.0001	4	0.00036160883610136807	0.00036160883610136807	281.9916501045227
3	50	0.0001	4	0.0003671707818284631	0.0003671707818284631	296.66636657714844
3	100	0.0001	8	0.0003896295966114849	0.0003896295966114849	142.3026442527771
3	50	0.0001	4	0.00044553805491887033	0.00044553805491887033	283.6298997402191
4	50	0.0001	4	0.0004617109661921859	0.0004617109661921859	282.94174695014954
3	50	0.0001	4	0.0004759244911838323	0.0004759244911838323	284.4982018470764
3	100	0.0001	8	0.0004946784465573728	0.0004946784465573728	139.9474081993103
4	100	0.0001	8	0.0005086429882794619	0.0005086429882794619	145.64410424232483
4	100	0.0001	8	0.0005309246480464935	0.0005309246480464935	116.81643176078796
3	50	0.0001	4	0.0005515622906386852	0.0005515622906386852	285.67134284973145
4	100	0.0001	8	0.0005731245037168264	0.0005731245037168264	153.96658873558044
4	50	0.0001	8	0.0006208726554177701	0.0006208726554177701	141.53257393836975
3	50	0.0001	4	0.0006275774794630706	0.0006275774794630706	284.1924796104431
4	100	0.0001	8	0.0008342768414877355	0.0008342768414877355	160.74338912963867
4	100	0.0001	8	0.0008353447774425149	0.0008353447774425149	143.2963719367981
3	50	0.0001	4	0.0008420213707722723	0.0008420213707722723	296.8022413253784
4	50	0.0001	8	0.0009086495265364647	0.0009086495265364647	148.4714629650116
3	50	0.0001	4	0.0009548459784127772	0.0009548459784127772	282.8747773170471
4	50	0.0001	8	0.0009567946544848382	0.0009567946544848382	145.25301814079285
4	50	0.0001	8	0.0010026380186900496	0.0010026380186900496	133.46927857398987
4	100	0.0001	8	0.0012568669626489282	0.0012568669626489282	157.35136151313782
4	50	1e-05	4	0.0019724294543266296	0.0019724294543266296	292.97752499580383
3	100	1e-05	4	0.0023608349729329348	0.0023608349729329348	267.8132121562958
3	100	1e-05	4	0.002721172058954835	0.002721172058954835	267.527131319046
4	100	1e-05	4	0.0031235385686159134	0.0031235385686159134	278.460857629776
3	100	1e-05	4	0.003130991943180561	0.003130991943180561	266.58525347709656
3	100	1e-05	8	0.003195174504071474	0.003195174504071474	154.67907977104187
4	50	1e-05	4	0.0034410629887133837	0.0034410629887133837	292.92746901512146
4	100	1e-05	4	0.003600344294682145	0.003600344294682145	278.94309306144714
4	100	1e-05	4	0.003661157563328743	0.003661157563328743	299.55448818206787
4	50	1e-05	4	0.0038692038506269455	0.0038692038506269455	281.14326000213623
3	100	1e-05	8	0.003975101746618748	0.003975101746618748	157.35589337348938
3	50	1e-05	4	0.004008343443274498	0.004008343443274498	284.0916111469269
3	100	1e-05	8	0.00453924061730504	0.00453924061730504	151.42670440673828
4	100	1e-05	8	0.0046229069121181965	0.0046229069121181965	146.27196645736694
4	100	1e-05	4	0.004662842955440283	0.004662842955440283	279.9560492038727
3	50	1e-05	4	0.004876244813203812	0.004876244813203812	296.776230096817
4	50	1e-05	4	0.004899137653410435	0.004899137653410435	290.5013484954834
4	50	1e-05	8	0.005675200372934341	0.005675200372934341	150.61875367164612
4	100	1e-05	4	0.006089183036237955	0.006089183036237955	306.55963611602783
3	100	1e-05	8	0.006251930724829435	0.006251930724829435	139.46258234977722
3	100	1e-05	8	0.0074330540373921394	0.0074330540373921394	152.8016698360443
