zcmb,mb,dmb,errors
0.503084,23.001698,0.088031,0.12021869331389358
0.580724,23.573937,0.090132,0.12143531375032553
0.494795,22.960139,0.08811,0.08955244682341738
0.345928,22.398137,0.087263,0.11972923388730089
0.677662,24.078115,0.098356,0.10008802028780968
0.610712,23.285241,0.092877,0.1236118272781371
0.866494,24.353678,0.106037,0.10818058279785242
0.330932,21.861412,0.086437,0.11933290641901755
0.798566,24.510389,0.101777,0.13058524482953654
0.449562,22.667126,0.091912,0.12227122951982612
0.371443,22.273052,0.091326,0.12258633770555348
0.291718,21.961068,0.093479,0.12389292881746723
0.35582,22.926619,0.087008,0.11895370390891576
0.461274,22.575127,0.095948,0.1253150368598677
0.28361,21.256943,0.086683,0.11962872073783118
0.632234,23.73918,0.093125,0.09445204581290445
0.466414,23.789546,0.09035,0.12187011896863809
0.268624,21.058469,0.086242,0.11943276104917779
0.94689,24.460375,0.115036,0.11776466804108524
0.924917,24.705851,0.125384,0.15021506132002876
0.693165,24.03207,0.100242,0.1297123204391549
0.625233,23.386939,0.091453,0.1226497911095653
0.896944,24.333328,0.109618,0.1373094265449754
0.608261,23.24535,0.090819,0.12195555288239235
0.789054,24.222261,0.099608,0.15186215676329637
0.578292,23.324299,0.090072,0.0919290016898367
0.59028,23.431058,0.092935,0.12364621936537323
0.719626,23.898687,0.095665,0.1261516396509772
0.210032,21.056779,0.085765,0.12048958351509062
0.76659,24.132026,0.096641,0.12669068342257847
0.858513,24.246115,0.101579,0.10358731535250347
0.367904,22.156621,0.086082,0.08842726925616894
0.558746,23.699983,0.089573,0.12115552768689508
0.848509,24.295329,0.10052,0.10244857651332692
0.99639,24.617672,0.112483,0.13982488887701647
0.776594,24.397768,0.098366,0.12806571006674658
0.582932,23.273246,0.09012,0.09145111663682408
0.583743,23.335798,0.089495,0.1450218396407934
0.796552,24.128917,0.098413,0.09996616800072912
0.588721,23.396414,0.091211,0.1223204354320242
0.913473,24.343967,0.104751,0.1555991218779849
0.768587,24.546176,0.097274,0.12704358304983374
0.948455,24.677344,0.112213,0.1394355449561553
0.513793,23.572554,0.090087,0.12162961150427144
0.733609,23.98538,0.094433,0.09609278005740078
0.637701,24.012142,0.100758,0.1298470782440637
0.765588,24.244208,0.09633,0.12642949107150595
0.434861,22.556493,0.087188,0.14375567943458792
0.983407,24.760473,0.114131,0.1410170472667046
0.583743,23.564276,0.091595,0.12250585515317217
0.700631,23.857842,0.094362,0.1250311307986535
0.662058,24.072652,0.093186,0.1238909687060764
0.838126,24.337904,0.113632,0.14002433825346222
0.621874,23.581303,0.092366,0.09323378810439378
0.370586,22.462924,0.095747,0.1258485153491689
0.416632,22.546572,0.087194,0.11927242656540529
0.35857,22.425017,0.086485,0.08788322352633067
0.451681,22.903257,0.088233,0.11987638943407497
0.522762,23.329087,0.089115,0.12054727545942297
0.733996,24.211821,0.1029,0.10417607170835826
0.701965,24.226777,0.100028,0.12923667657836146
0.742008,24.094212,0.103483,0.13178713999157884
0.746118,23.855911,0.095641,0.12565279180463917
0.34956,22.510167,0.089792,0.1212567549336943
0.591835,23.386183,0.090444,0.12145766886471188
0.514746,23.776721,0.090306,0.12134057394849423
0.620632,23.784306,0.093091,0.12323307537288843
0.643646,23.786478,0.094148,0.1476751972069108
1.002795,25.039369,0.13731,0.16022498297700016
0.470586,23.532383,0.087988,0.11931817775980322
0.610643,23.559958,0.090588,0.12132498975619162
0.263487,21.66648,0.08555,0.1181227460070244
0.358336,22.515607,0.086303,0.11840004279268652
0.742697,24.096172,0.097111,0.1266274945640164
0.451556,23.241924,0.087828,0.0884024712502654
0.910752,24.654449,0.112202,0.13915713198158405
0.552605,23.48813,0.089654,0.12071734762369492
0.337534,21.966214,0.086047,0.1181473467743563
0.750681,23.808932,0.099406,0.10043312728743439
0.983777,24.982708,0.14188,0.1432931807025617
0.822697,24.373493,0.100111,0.10148990696750097
0.813696,24.296809,0.099177,0.15121098264742544
0.950763,24.595947,0.112327,0.1605928953453421
0.817732,24.272419,0.101608,0.13482247703432096
0.34052,22.137345,0.0859,0.11806964092716637
0.960751,24.586694,0.116274,0.14246374146209975
0.81072,24.233543,0.105587,0.1554626687841811
0.756687,24.054929,0.095935,0.13294042528268069
0.611252,24.015491,0.095195,0.12520906312619706
0.877971,24.329232,0.103099,0.10521919155872658
0.548325,23.336908,0.09145,0.09284236360648086
0.809032,24.395023,0.101626,0.10318630716601887
1.0288,24.58883,0.1248,0.15020616118631752
0.627239,23.512839,0.092195,0.09362676724215142
0.422452,22.726347,0.08807,0.14446459445310467
0.9339,24.815885,0.126556,0.12827968340499987
0.701158,23.921414,0.094504,0.12514978758883294
0.697164,23.589462,0.093324,0.12436149391178124
0.685179,24.117729,0.0983,0.1281673960192685
0.767075,24.198308,0.101187,0.13030829673409133
0.931901,24.398812,0.111047,0.1384580964850738
0.863978,24.398482,0.1039,0.13281591897622816
0.7491,23.830175,0.096075,0.09747686652960794
0.514353,22.880762,0.088897,0.12189426307033485
0.468406,22.634969,0.087451,0.08878502655938106
0.470398,23.758954,0.088446,0.12038376702213634
0.958871,24.773087,0.125337,0.1271789985017259
0.927909,24.759723,0.121275,0.14674895609475386
0.840522,24.254281,0.101288,0.10298987406315244
0.630699,23.700974,0.091576,0.1226971918413376
0.562751,23.506645,0.090329,0.12175744510558688
0.615698,24.070744,0.092238,0.1230584398891031
0.828528,24.361588,0.100853,0.1025942085921179
0.564741,23.285141,0.089709,0.1213311796476487
0.578745,23.278595,0.089343,0.12092473817321252
0.557743,23.522028,0.090291,0.12188629440117539
0.864497,24.277329,0.102986,0.10505957751904867
0.735608,24.300208,0.096764,0.09829745694857014
0.858507,24.622355,0.106173,0.13453577948151935
0.261984,21.189797,0.08739,0.08972283487389372
0.585743,24.087789,0.092677,0.14712427642404907
0.76158,24.040031,0.096723,0.12663419116976268
0.4888,22.868484,0.08839,0.08992748519785816
0.858516,24.427101,0.11645,0.11822889019348021
0.688656,23.604428,0.092298,0.09403397194801462
0.558743,24.148746,0.092898,0.09416843918724044
0.324532,21.993375,0.086121,0.1185225001445717
0.480704,22.671051,0.087736,0.08871118850986046
0.185371,20.758955,0.085522,0.12113828252509609
0.922221,24.664061,0.117413,0.14338922027457296
0.681942,23.499419,0.094158,0.12463606905739608
0.475707,22.715329,0.087947,0.08879902138349836
0.92221,24.380224,0.117626,0.14363077415393957
0.893183,24.576,0.106138,0.1343716170205226
0.428646,23.396803,0.089103,0.12059084665346703
0.631882,23.605938,0.097524,0.12687075262064934
0.69996,24.456174,0.097048,0.12689447193286238
0.736007,24.383943,0.104933,0.13291666794510762
0.575823,23.652601,0.091807,0.12244594153817431
0.418633,22.46895,0.087692,0.08891947773043317
0.511746,22.907226,0.088554,0.0894216028349414
0.535771,22.991731,0.091256,0.09224176178831907
0.641893,23.677878,0.093291,0.14731237259442942
0.734996,24.000974,0.095665,0.1258124633044755
0.35156,22.684908,0.086351,0.1187499775226505
0.60986,23.927615,0.091831,0.12241589186988755
0.349557,22.228291,0.086821,0.11910654012731627
0.701969,23.957522,0.095463,0.09695354237196803
0.355261,22.387222,0.088265,0.08977477474878452
0.98328,24.666688,0.114718,0.14139391531179835
0.872152,24.426592,0.119167,0.1448703666609911
0.75903,24.106956,0.09556,0.1256197792281136
0.92622,24.811277,0.111056,0.11281800447006675
0.643642,23.6153,0.098759,0.10052833971286902
0.419569,22.938058,0.087595,0.11925323480153484
0.515587,23.62109,0.106833,0.15601069937122902
0.890729,24.223935,0.103551,0.1053054681805793
0.805696,23.903235,0.09721,0.14986040052228608
0.480568,22.948758,0.088055,0.0886320841048827
0.800697,24.207672,0.098997,0.1280646228106732
0.580604,23.516572,0.09835,0.12717690620584385
0.715652,23.992197,0.096706,0.12638634972207244
0.805695,24.393736,0.106396,0.10737017524035714
0.766684,24.298577,0.103932,0.13191818652949258
0.664638,23.512551,0.094448,0.12444127422286386
0.901736,24.408439,0.111342,0.13848105164014315
0.745665,23.919586,0.094967,0.12495318079997003
0.71868,23.72368,0.094949,0.12503827788629368
0.73669,23.691578,0.093659,0.12402282033569467
0.5796,23.295137,0.08931,0.08993117972585482
0.370531,22.62937,0.086626,0.08766551097125938
0.96074,24.718789,0.112338,0.13926943549885595
0.850729,24.140236,0.098855,0.12841709227575587
0.64864,23.974975,0.092708,0.1229992625431551
0.219462,20.852122,0.085341,0.11894890996385801
0.936755,24.494384,0.108686,0.13629101698325535
0.647639,23.898505,0.09193,0.0948014351775436
0.461564,22.975035,0.087413,0.11889929522696928
0.600603,23.845284,0.094433,0.12422435865135308
0.670654,24.064257,0.095777,0.14880253868230878
0.760698,24.031872,0.094664,0.12471175104391727
0.246492,21.50567,0.086206,0.11883458516080242
0.470573,23.023421,0.088704,0.1199128383914333
0.169455,20.293205,0.088415,0.0946483878667249
0.497379,23.102539,0.088758,0.09039569050965317
0.638234,23.888138,0.097915,0.09932330717273263
0.507371,23.559122,0.089015,0.120871900611722
0.535327,22.871803,0.08873,0.12066239374233383
0.587285,23.613598,0.091452,0.12256754898177577
0.773081,24.049363,0.098805,0.1282948804100148
0.699166,24.107325,0.094894,0.1255782458776599
0.370511,22.212225,0.086476,0.11946844083212939
0.761089,24.081977,0.09585,0.12601800188631782
0.699169,23.733171,0.094016,0.12503021650597107
0.78806,23.975847,0.096033,0.0975838672143198
0.373513,22.144613,0.086768,0.1195652214137121
0.405478,22.801779,0.086962,0.1195204232238156
0.852994,24.43276,0.101921,0.1535765837463511
0.808048,24.608413,0.101592,0.1030722756285559
0.603272,23.829442,0.092267,0.12393010331670833
0.58329,23.712643,0.090793,0.14593928004139256
0.534335,23.294733,0.090128,0.12168853651236011
0.72014,24.235443,0.098164,0.1279334907684458
0.400485,22.587347,0.087548,0.1430667123404323
0.837004,24.189244,0.100539,0.10237853933300671
0.371508,22.438189,0.086225,0.08840750385274997
0.806041,24.46554,0.105158,0.10650533326864904
0.840005,24.190851,0.103903,0.10575864923649034
0.500728,23.276559,0.089131,0.09011940092811314
0.532765,23.313086,0.08987,0.14524745467236252
0.533766,23.454678,0.09473,0.12481410347060143
0.932229,24.775178,0.130385,0.13187962769065584
0.822103,24.189188,0.104677,0.10606839195575656
