Deep size	Num units	Learning rate	Batch size	Epochs	Error	Tiempo de ejecución
8	8	0.0064	8	150	6.787045596652463e-05	898.9858827590942
4	8	0.0008	16	150	6.795886051817075e-05	412.630939245224
4	12	0.0016	2	50	6.817197597249584e-05	1005.1784784793854
4	12	0.0016	4	50	6.94630859110432e-05	507.04902625083923
16	4	0.0016	2	50	6.973341080418005e-05	1350.5423612594604
4	12	0.0016	16	50	6.988224967669572e-05	137.56542587280273
12	4	0.0032	2	50	7.02063383421241e-05	1289.255761384964
16	4	0.0024000000000000002	4	100	7.8298094865652e-05	1423.1406450271606
16	4	0.0008	2	100	7.897976627845505e-05	2945.5641915798187
4	4	0.0016	8	150	7.900873603969553e-05	826.0560343265533
4	4	0.004	8	50	7.969443054781618e-05	271.0610613822937
4	4	0.0008	2	50	8.023318105596342e-05	1004.1816647052765
4	16	0.0024000000000000002	16	150	8.06689630552949e-05	402.62994265556335
4	8	0.0008	8	150	8.340508579003463e-05	796.5064759254456
4	12	0.0032	2	50	8.666246454161557e-05	1005.5665924549103
4	4	0.004	8	50	8.788531776482028e-05	198.5877821445465
4	4	0.0008	2	50	8.790123799635838e-05	955.0171058177948
16	12	0.0064	4	100	9.01207985609449e-05	1402.2972877025604
12	4	0.0032	8	100	9.310540920557804e-05	655.6094617843628
8	4	0.0008	2	150	9.316516343006422e-05	3414.1168806552887
16	8	0.0024000000000000002	4	100	9.424705173938495e-05	1457.5633654594421
8	8	0.0064	2	150	0.00010272631387012678	1243.4901859760284
12	8	0.0048000000000000004	16	50	0.00010342558540397315	168.50209665298462
4	4	0.0032	16	50	0.00010431381458199246	139.1769506931305
16	4	0.0016	2	50	0.00010479084609946294	1441.3854837417603
4	16	0.0056	8	50	0.00010575051008743641	262.80772709846497
4	4	0.0008	8	50	0.0001070259360352572	266.26005363464355
4	12	0.0032	16	50	0.00011920852023683607	130.76748919487
16	4	0.0016	8	50	0.00012324047994952518	391.38952374458313
16	4	0.0016	8	50	0.0001237246703922683	384.0384404659271
8	4	0.0016	2	50	0.00013013349942210209	1210.2046394348145
4	4	0.0008	8	50	0.00013214700397693504	268.775030374527
4	4	0.0008	8	50	0.00014383682876408145	267.0376524925232
16	4	0.0016	16	50	0.00014507485529581976	197.57561016082764
16	12	0.004	2	50	0.00015452677434544342	1395.9543206691742
16	4	0.0016	4	50	0.00016114684511997132	700.0398685932159
4	12	0.0024000000000000002	8	50	0.00016977807374171267	267.17075991630554
4	4	0.0032	2	100	0.0002122280477302935	1066.5835373401642
16	4	0.0016	16	100	0.00021520601649201862	389.21996235847473
4	4	0.0008	4	50	0.0003141416776398764	476.71131443977356
4	16	0.0064	4	50	0.0003147947553709003	527.3855574131012
12	4	0.0056	8	100	0.0003164857078430168	435.9566259384155
4	4	0.0016	2	50	0.0003173825331079107	1001.8534729480743
8	4	0.0016	2	50	0.0003357936172470783	1095.6225907802582
4	12	0.0032	2	50	0.000337644711990614	1068.2409536838531
