Deep size	Num units	Learning rate	Batch size	MSE	Tiempo de ejecución
3	200	0.0001	16	0.00022497570898849517	98.75160598754883
4	200	0.001	16	0.0002443617267999798	102.9963960647583
4	100	0.001	16	0.0002483733114786446	47.56417775154114
4	50	0.001	16	0.0002593545359559357	51.246023654937744
3	100	0.001	16	0.0002950335619971156	46.05085229873657
3	50	0.001	16	0.0005315645830705762	56.70892143249512
4	100	0.0001	16	0.0009394006920047104	89.06720018386841
4	200	0.0001	16	0.001288837636820972	99.06406164169312
4	50	0.0001	16	0.0015666859690099955	85.25781893730164
3	200	0.001	16	0.001977683277800679	99.4697949886322
3	100	0.0001	16	0.0027593972627073526	83.75408816337585
3	200	1e-05	16	0.005777901969850063	98.80572867393494
4	200	1e-05	16	0.006138915196061134	110.46041965484619
3	50	1e-05	16	0.0074049802497029305	84.41967463493347
4	100	1e-05	16	0.008332641795277596	88.75557136535645
3	50	0.0001	16	0.008858210407197475	84.02468681335449
4	50	1e-05	16	0.009791441261768341	85.67473292350769
3	100	1e-05	16	0.010765467770397663	83.5677809715271
